gene_id,id,astrocytes_1,astrocytes_2,endothelial_1,endothelial_2,microglia_macrophage_1,microglia_macrophage_2,myelinating_oligodendrocyte_1,myelinating_oligodendrocyte_2,neurons_1,neurons_2,newly_formed_oligodendrocyte_1,newly_formed_oligodendrocyte_2,opc_1,opc_2
"Tcl1b3 - Mus musculus",1351600,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Tcl1b4 - Mus musculus",1351604,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Tcl1b5 - Mus musculus",1351635,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Tcn2 - Mus musculus",98534,22.288647,17.71082,73.29879,81.197335,310.850755,457.224348,16.579848,17.04721,1.658685,2.280952,10.210392,12.867131,30.097393,33.008212
"Tcof1 - Mus musculus",892003,2.812478,2.628068,2.652689,2.594426,9.312249,11.213131,1.350897,1.212391,3.689335,3.871689,2.31624,2.818319,5.56531,6.975385
"Tcp1 - Mus musculus",98535,29.064517,28.922711,60.200687,62.828747,33.016681,21.441263,32.460202,36.022875,29.494408,69.671394,52.336718,52.354407,44.257745,54.900736
"Tcp10a - Mus musculus",3711246,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Tcp10b - Mus musculus",3711246,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Tcp10c - Mus musculus",3711246,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.109943,0.1
"Tcp11 - Mus musculus",3612449,0.1,0.347176,0.1,0.1,0.1,0.1,0.1,0.1,1.627581,2.478559,0.1,0.1,0.1,0.1
"Tcp11l1 - Mus musculus",2444263,2.135919,2.751163,0.125363,0.1,0.479507,0.326773,2.576037,2.561526,4.743416,3.310103,4.145752,2.892031,4.340421,2.895885
"Tcp11l2 - Mus musculus",2444679,6.228673,7.064451,34.513343,28.316641,6.315123,7.712598,7.987216,6.927299,13.630898,17.57476,7.716522,6.381967,7.99081,10.074461
"Tcstv1 - Mus musculus",1933437,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Tcstv3 - Mus musculus",1933437,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Tcta - Mus musculus",1918829,10.675033,9.657366,17.262089,19.817628,7.50661,10.140724,33.714084,39.651394,18.334662,18.785758,23.623169,35.75155,9.288409,14.652744
"Tcte1 - Mus musculus",98640,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.246506,0.232186,0.1,0.1,0.1,0.1
"Tcte2 - Mus musculus",98641,0.121172,0.1,0.548611,0.466009,0.1,0.1,0.249752,0.252947,0.683712,0.80978,0.116671,0.12239,0.183884,0.230064
"Tcte3 - Mus musculus",3781595,0.1,0.201558,0.1,0.1,0.1,0.1,0.1,0.210256,0.264458,0.1,0.1,0.1,0.1,0.1
"Tctex1d1 - Mus musculus",1914594,0.129506,0.354094,0.1,0.1,0.1,0.1,0.1,0.113061,0.1,0.1,0.137339,0.1,0.1,0.1
"Tctex1d2 - Mus musculus",1913311,6.238314,5.317731,9.811429,17.646073,6.886961,7.58421,8.536825,7.991523,11.562335,10.405447,7.26942,6.9987,7.056601,7.832891
"Tctex1d4 - Mus musculus",3045358,0.102133,0.101171,0.114958,0.130248,0.1,0.432389,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Tctn1 - Mus musculus",3603820,4.555373,4.374988,2.454025,2.164199,2.843353,3.261382,0.640325,0.95995,3.351454,3.266835,1.49926,1.667356,2.16239,2.871559
"Tctn2 - Mus musculus",1915228,3.496123,4.267473,3.145149,3.064867,0.594279,0.76866,0.965787,1.242771,3.247837,3.30656,1.689161,1.509269,1.645187,3.122553
"Tctn3 - Mus musculus",1914840,11.84503,14.385298,2.329181,2.272344,2.232332,2.304351,0.802934,0.79481,6.459592,6.527519,2.028692,3.079944,5.259598,6.859104
"Tdg - Mus musculus",3779502,0.193795,0.231974,0.255426,0.317582,0.222169,0.135492,0.144154,0.170122,0.245041,0.196805,0.305329,0.384774,0.222146,0.264412
"Tdgf1 - Mus musculus",98658,0.1,0.12625,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Tdh - Mus musculus",3649396,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.185687,0.1,0.1
"Tdo2 - Mus musculus",1928486,0.1,0.1,0.1,0.1,0.1,0.1,0.765274,0.763172,0.1,0.107892,0.653304,0.277992,0.1,0.1
"Tdp1 - Mus musculus",1920036,6.781052,5.783694,5.290453,5.018326,5.147839,4.930295,3.210037,3.631363,4.775968,6.116133,6.155028,7.634262,9.8592,12.533541
"Tdpoz1 - Mus musculus",3702970,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Tdpoz2 - Mus musculus",3027902,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Tdpoz3 - Mus musculus",3646925,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Tdpoz4 - Mus musculus",3027904,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Tdpoz5 - Mus musculus",3027905,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Tdrd1 - Mus musculus",1933218,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Tdrd12 - Mus musculus",1919231,0.222642,0.140381,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.143222,0.159225,0.160698,0.280597
"Tdrd3 - Mus musculus",2444023,14.19791,11.288674,8.868096,9.145248,1.041458,0.666133,3.098224,3.909087,6.288121,10.955207,8.793042,5.028603,8.277041,4.919524
"Tdrd5 - Mus musculus",2684949,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.179142,0.1568,0.1,0.1,0.1,0.1
"Tdrd6 - Mus musculus",2679727,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.610915,1.484643,0.1,0.1,0.162877,0.1
"Tdrd7 - Mus musculus",2140279,7.336701,7.567072,13.656053,14.40551,6.977692,5.922287,7.927093,8.390627,2.238402,3.443519,11.11793,11.333703,23.004713,24.872198
"Tdrd9 - Mus musculus",1921941,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.126259,0.20693,0.1,0.1
"Tdrkh - Mus musculus",1919884,7.363113,7.986966,0.462335,0.577702,1.726563,1.569442,3.26803,4.070682,5.087062,8.591086,11.707727,7.566758,12.397567,9.302255
"Tead1 - Mus musculus",101876,14.200231,15.010288,3.726245,3.626971,0.1,0.1,0.1,0.145465,8.180683,8.592523,0.592853,0.375812,2.556457,1.477935
"Tead2 - Mus musculus",104904,9.290478,14.618004,23.844026,26.970926,0.162368,0.357488,0.1,0.105527,1.677782,1.133209,0.1,0.1,0.584108,0.892598
"Tead3 - Mus musculus",109241,14.243117,14.107663,0.206804,0.220428,3.080319,2.227555,0.1,0.133722,9.071141,11.704859,0.498975,0.459965,1.43259,1.682898
"Tead4 - Mus musculus",106907,0.1,0.1,3.42083,3.295714,0.1,0.1,0.1,0.1,0.1,0.1,0.220591,0.14842,0.1,0.1
"Tec - Mus musculus",98662,0.351858,0.311512,6.9009,7.543161,12.645954,8.80865,0.1,0.1,0.113,0.178972,0.1,0.1,1.405276,0.445095
"Tecpr1 - Mus musculus",1917631,9.138991,9.017138,25.435538,25.290746,10.641973,10.871681,9.002107,10.502556,13.160049,12.546638,9.158629,11.791202,8.725788,12.535856
