sample,fastq_1,fastq_2,strandedness,mouse_n,population,inoculum,dpi,group_assignment,inoculation_batch,sample_mass_mg,date_nuc_prep,incubation_time_hrs
916468-22L-120-19-NeuN,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916468-22L-120-19-NeuN_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916468-22L-120-19-NeuN_R2.fastq.gz,auto,916468,NeuN,22L,120,group_22L_120,BATCH1,243,2025-08-20,19.43
916468-22L-120-19-SOX10,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916468-22L-120-19-SOX10_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916468-22L-120-19-SOX10_R2.fastq.gz,auto,916468,SOX10,22L,120,group_22L_120,BATCH1,243,2025-08-20,19.43
916468-22L-120-19-SOX2,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916468-22L-120-19-SOX2_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916468-22L-120-19-SOX2_R2.fastq.gz,auto,916468,SOX2,22L,120,group_22L_120,BATCH1,243,2025-08-20,19.43
916468-22L-120-19-PU1,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916468-22L-120-19-PU1_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916468-22L-120-19-PU1_R2.fastq.gz,auto,916468,PU1,22L,120,group_22L_120,BATCH1,243,2025-08-20,19.43
917445-22L-60-3-NeuN,/media/tmurphy/4TB_HDD/exp383/merged_fastq/917445-22L-60-3-NeuN_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/917445-22L-60-3-NeuN_R2.fastq.gz,auto,917445,NeuN,22L,60,group_22L_60,BATCH3,294,2025-08-21,22.62
917445-22L-60-3-SOX10,/media/tmurphy/4TB_HDD/exp383/merged_fastq/917445-22L-60-3-SOX10_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/917445-22L-60-3-SOX10_R2.fastq.gz,auto,917445,SOX10,22L,60,group_22L_60,BATCH3,294,2025-08-21,22.62
917445-22L-60-3-SOX2,/media/tmurphy/4TB_HDD/exp383/merged_fastq/917445-22L-60-3-SOX2_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/917445-22L-60-3-SOX2_R2.fastq.gz,auto,917445,SOX2,22L,60,group_22L_60,BATCH3,294,2025-08-21,22.62
917445-22L-60-3-PU1,/media/tmurphy/4TB_HDD/exp383/merged_fastq/917445-22L-60-3-PU1_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/917445-22L-60-3-PU1_R2.fastq.gz,auto,917445,PU1,22L,60,group_22L_60,BATCH3,294,2025-08-21,22.62
918278-RML-120-17-NeuN,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918278-RML-120-17-NeuN_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918278-RML-120-17-NeuN_R2.fastq.gz,auto,918278,NeuN,RML,120,group_RML_120,BATCH4,215,2025-08-21,18.08
918278-RML-120-17-SOX10,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918278-RML-120-17-SOX10_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918278-RML-120-17-SOX10_R2.fastq.gz,auto,918278,SOX10,RML,120,group_RML_120,BATCH4,215,2025-08-21,18.08
918278-RML-120-17-SOX2,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918278-RML-120-17-SOX2_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918278-RML-120-17-SOX2_R2.fastq.gz,auto,918278,SOX2,RML,120,group_RML_120,BATCH4,215,2025-08-21,18.08
918278-RML-120-17-PU1,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918278-RML-120-17-PU1_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918278-RML-120-17-PU1_R2.fastq.gz,auto,918278,PU1,RML,120,group_RML_120,BATCH4,215,2025-08-21,18.08
